id,sales
2972376,8.0
2972377,0.0
2972378,3.0
2972379,2414.0
2972380,1.0
2972381,370.994
2972382,3.0
2972383,678.0
2972384,727.0
2972385,189.11
2972386,149.0
2972387,158.354
2972388,2966.0
2972389,11.0
2972390,1.0
2972391,24.0
2972392,39.0
2972393,2.0
2972394,227.0
2972395,21.0
2972396,15.0
2972397,4.0
2972398,71.0
2972399,7.0
2972400,254.116
2972401,194.0
2972402,4.0
2972403,7.0
2972404,385.405
2972405,64.255
2972406,2603.372
2972407,0.0
2972408,25.119
2972739,16.0
2972740,0.0
2972741,8.0
2972742,2993.0
2972743,0.0
2972744,618.0
2972745,4.0
2972746,910.0
2972747,827.0
2972748,248.613
2972749,176.0
2972750,81.0
2972751,3812.0
2972752,81.0
2972753,5.0
2972754,14.0
2972755,20.0
2972756,1.0
2972757,293.0
2972758,20.0
2972759,12.0
2972760,5.0
2972761,37.0
2972762,9.0
2972763,395.641
2972764,268.0
2972765,7.0
2972766,6.0
2972767,437.385
2972768,114.951996
2972769,2284.938
2972770,0.0
2972771,34.885
2973102,8.0
2973103,1.0
2973104,14.0
2973105,7954.0
2973106,0.0
2973107,1160.938
2973108,14.0
2973109,2390.0
2973110,1970.0
2973111,313.129
2973112,507.0
2973113,353.889
2973114,7491.0
2973115,70.0
2973116,5.0
2973117,46.0
2973118,64.0
2973119,1.0
2973120,590.0
2973121,41.0
2973122,39.0
2973123,25.0
2973124,104.0
2973125,15.0
2973126,685.092
2973127,531.0
2973128,16.0
2973129,27.0
2973130,1140.462
2973131,193.795
2973132,8316.788
2973133,1.0
2973134,103.956
2973465,5.0
2973466,1.0
2973467,3.0
2973468,2624.0
2973469,0.0
2973470,427.895
2973471,3.0
2973472,743.0
2973473,749.0
2973474,152.956
2973475,138.0
2973476,91.6
2973477,3162.0
2973478,17.0
2973479,2.0
2973480,13.0
2973481,8.0
2973482,0.0
2973483,289.0
2973484,15.0
2973485,14.0
2973486,5.0
2973487,51.0
2973488,4.0
2973489,317.109
2973490,228.0
2973491,6.0
2973492,9.0
2973493,366.018
2973494,32.0
2973495,2122.318
2973496,0.0
2973497,23.542
2973828,3.0
2973829,0.0
2973830,7.0
2973831,2063.0
2973832,0.0
2973833,343.889
2973834,17.0
2973835,1164.0
2973836,592.0
2973837,246.152
2973838,93.0
2973839,82.0
2973840,3280.0
2973841,135.0
2973842,0.0
2973843,19.0
2973844,28.0
2973845,0.0
2973846,383.0
2973847,15.0
2973848,13.0
2973849,19.0
2973850,36.0
2973851,3.0
2973852,271.239
2973853,236.0
2973854,5.0
2973855,10.0
2973856,210.077
2973857,58.151
2973858,1460.231
2973859,1.0
2973860,5.0
2974158,5.0
2974159,0.0
2974160,4.0
2974161,2627.0
2974162,0.0
2974163,373.70898
2974164,11.0
2974165,867.0
2974166,668.0
2974167,133.588
2974168,161.0
2974169,144.126
2974170,2872.0
2974171,25.0
2974172,0.0
2974173,20.0
2974174,38.0
2974175,0.0
2974176,241.0
2974177,12.0
2974178,22.0
2974179,21.0
2974180,73.0
2974181,5.0
2974182,336.499
2974183,166.0
2974184,4.0
2974185,12.0
2974186,312.36002
2974187,81.507
2974188,2560.61
2974189,0.0
2974190,33.489998
2974521,2.0
2974522,0.0
2974523,8.0
2974524,3141.0
2974525,0.0
2974526,678.0
2974527,9.0
2974528,1128.0
2974529,859.0
2974530,187.415
2974531,175.0
2974532,76.0
2974533,4287.0
2974534,72.0
2974535,2.0
2974536,19.0
2974537,38.0
2974538,0.0
2974539,300.0
2974540,23.0
2974541,18.0
2974542,2.0
2974543,43.0
2974544,5.0
2974545,459.786
2974546,318.0
2974547,10.0
2974548,13.0
2974549,447.255
2974550,86.066
2974551,2465.327
2974552,0.0
2974553,39.959
2974884,23.0
2974885,0.0
2974886,15.0
2974887,8192.0
2974888,0.0
2974889,1203.214
2974890,24.0
2974891,2264.0
2974892,2170.0
2974893,374.375
2974894,473.0
2974895,308.566
2974896,8229.0
2974897,90.0
2974898,1.0
2974899,49.0
2974900,65.0
2974901,0.0
2974902,650.0
2974903,34.0
2974904,71.0
2974905,16.0
2974906,158.0
2974907,20.0
2974908,725.372
2974909,591.0
2974910,22.0
2974911,21.0
2974912,1096.983
2974913,266.688
2974914,7382.047
2974915,1.0
2974916,94.229004
2975247,4.0
2975248,0.0
2975249,1.0
2975250,2914.0
2975251,0.0
2975252,421.759
2975253,4.0
2975254,986.0
2975255,743.0
2975256,201.579
2975257,150.0
2975258,81.0
2975259,4182.0
2975260,21.0
2975261,0.0
2975262,12.0
2975263,13.0
2975264,0.0
2975265,307.0
2975266,19.0
2975267,19.0
2975268,2.0
2975269,47.0
2975270,10.0
2975271,706.34503
2975272,289.0
2975273,1.0
2975274,5.0
2975275,389.833
2975276,63.556
2975277,2340.392
2975278,0.0
2975279,18.982
2975610,10.0
2975611,0.0
2975612,3.0
2975613,2395.0
2975614,0.0
2975615,379.656
2975616,35.0
2975617,1128.0
2975618,548.0
2975619,264.631
2975620,99.0
2975621,77.841
2975622,3382.0
2975623,100.0
2975624,1.0
2975625,44.0
2975626,18.0
2975627,0.0
2975628,249.0
2975629,26.0
2975630,5.0
2975631,15.0
2975632,54.0
2975633,2.0
